銘柄名,銘柄コード,区分,数量,現在値,買付単価,本決算,中間決算
ＩＮＰＥＸ,1605,非課税（NISA成長投資枠）,100,3499,1974,12月末,6月末
矢作建,1870,非課税（NISA成長投資枠）,100,1992,1282,3月末,9月末
極楽湯ＨＤ,2340,非課税（NISA成長投資枠）,100,511,479,3月末,9月末
日創グループ,3440,非課税（NISA成長投資枠）,100,889,927,8月末,2月末
ホテルレジＲ／ＲＥＩＴ,3472,非課税（NISA成長投資枠）,4,65700,64000,11月末,5月末
マリオン,3494,非課税（NISA成長投資枠）,100,430,379,9月末,3月末
カナミックＮ,3939,非課税（NISA成長投資枠）,200,509,494,9月末,3月末
ユークス,4334,非課税（NISA成長投資枠）,100,388,371,1月末,7月末
ＵＳＳ,4732,非課税（NISA成長投資枠）,100,1987,1360,3月末,9月末
楽天グループ,4755,非課税（NISA成長投資枠）,100,886.5,715,12月末,6月末
バリューＨＲ,6078,非課税（NISA成長投資枠）,100,1477,1381,12月末,6月末
名南Ｍ＆Ａ,7076,非課税（NISA成長投資枠）,100,1040,847,9月末,3月末
シンシア,7782,非課税（NISA成長投資枠）,100,473,459,12月末,6月末
東海エレ,8071,非課税（NISA成長投資枠）,200,2968,2539,3月末,9月末
エスコン,8892,非課税（NISA成長投資枠）,100,1075,1065,3月末,9月末
フルハシＥ,9221,非課税（NISA成長投資枠）,200,1241,1342,3月末,9月末
ＮＴＴ,9432,非課税（NISA成長投資枠）,1000,158.5,147,3月末,9月末
ＳＢ,9434,非課税（NISA成長投資枠）,100,230.9,211,3月末,9月末
ヤマダＨＤ,9831,非課税（NISA成長投資枠）,100,674.2,665,3月末,9月末
ティア,2485,特定,100,473,463,9月末,3月末
丸善ＣＨＩ,3159,特定,200,416,349,1月末,7月末
クリレスＨＤ,3387,特定,200,752,747,2月末,8月末
パピレス,3641,特定,100,964,871,3月末,9月末
ＣＴＳ,4345,特定,200,821,763,3月末,9月末
名南Ｍ＆Ａ,7076,特定,200,1040,850,9月末,3月末
イントラスト,7191,特定,300,1135,650,3月末,9月末
イオン,8267,特定,100,1391,0,2月末,8月末
りそなＨＤ,8308,特定,100,2313,423,3月末,9月末
イオンＦＳ,8570,特定,100,1618,924,2月末,8月末
三菱ＨＣキャ,8593,特定,100,1446.5,495,3月末,9月末
近鉄ＧＨＤ,9041,特定,100,3500,2929,3月末,9月末
東テク,9960,特定,100,3925,2168,3月末,9月末
Ａ−ＲＩＺＡＰ　Ｇ,2928,特定,400,179,182,3月末,9月末
三和油化工業,4125,特定,100,1377,3380,3月末,9月末
エコム,6225,特定,100,1364,2030,7月末,1月末
セブン銀行,8410,特定,100,276,325,3月末,9月末
ブックオフＧＨＤ,9278,特定,100,1391,2959,5月末,11月末
